,歌詞
0,僕は君を　信じたから　もう裏切られる事はないだってもし裏切られても　それが解らないからどうか　君じゃなく　ならないで悲しい時　嬉しい時　どちらにしても　ほら泣く困るでしょうって更に泣く　あんまり困らないよ飴玉あげる何光年も遙か彼方から　やっと届いた飴玉だよそういう１ミリを繋いで　君と出会えた　僕がいるよ見えない神様　僕らは祈らない冷えきった君の　その手に触れて　心を見たよ聞けない事　言えない事　上手に話せなくて泣く出ない言葉　強い気持ち　時間が足りないと言う僕は　君と僕の事を　ずっと思い出す事はないだってさよならしないなら　思い出にならないからさぁ　ゆっくり下手な　話をしよう言葉の要らない　話をしよう何億年も遠い昔から　お互い知っている人がいるよそういう１秒を紡いで　僕と生きている　君がいるよ死なない神様　僕らは祈らない咳をする君の　熱に触れて　命を知るよ僕は君を　信じたけど　君が消えたらどうしよう考えると止まらないよ　何も解らなくなるいつか君と　離れるなら　いっそ忘れる事にしよう出来るのかな　無理だろうな　離れたくないな僕は　君と僕の事を　ずっと思い出す事はないだって忘れられないなら　思い出に出来ないからねぇ　怖いよ　止まらないよ　上手に話せやしないよ君は僕を　信じてるの　離れたくないな見えなければ　死ななければ　だけどそんなの君じゃないよ僕は嫌だよ　君がいいよ　離れたくないな飴玉食べた　君が笑う勝てない神様　負けない　祈らない限りある君の　その最期に触れて　全てに勝つよ見えない　死なない　僕らの世界でその手に触れて　熱に触れて僕も笑うよ　君と笑うよ僕は君を　信じたから
0,あの日の些細なため息は　ざわめきに飲まれ　迷子になったよありふれた類だったから　どこに転がったって　その景色の日常言葉は上手に使ったら　気持ちの側まで　近付けるけれど同じものにはなれない　抱えているうちに　迷子になったよ僕らはお揃いの服を着た　別々の呼吸　違う生き物見つけたら　鏡のように　見つけてくれた事触ったら　応えるように　触ってくれた事何も言えなかった　何を言えなかった曲がって落ちた紙飛行機　見つめ返せなかった　まっすぐな瞳夕焼けとサイレン　帰り道　もう痛まないけど　治らない傷あの日の些細なため息は　ざわめきに飲まれ　迷子になったよ名前を呼んでくれただけで　君と僕だけの　世界になったよ僕らの間にはさよならが　出会った時から育っていた笑うから　鏡のように　涙がこぼれたよ一度でも　心の奥が　繋がった気がしたよ見つめ返せなかった　忘れたくなかった笑うから　鏡のように　涙がこぼれたよ一度でも　心の奥が　繋がった気がしたよ冷えた手が　離れたあとも　まだずっと熱い事見つけたら　鏡のように　見つけてくれた事あの日　君がいた　あの日　君といた何も言えなかった　忘れたくなかった
0,白いブラウス似合う女の子　なぜいつも哀しそうなの?窓ぎわに置いたコスモスも　きれいな顔うなだれてる青いスカート似合う女の子　自分の場所を知らないの窓ぎわに置いたCOSMOSも　花びらの色を知らないのいつか君はブランコにゆられていたいけな目を少しふせて　哀しい顔でうつむいた「アタシハヒトリデヘイキナノ」ハートに巻いた包帯を　僕がゆっくりほどくから日なたに続くブリッジを探しておいで哀しい時は目の前で　大声出して泣いてよそんな寒いトコ今すぐ出ておいで　アルエ…僕の大切なアルエ　1人で見ていた夕焼け僕もいっしょに見ていいかい?　僕も一緒に居ていいかい?ボクノタイセツナアルエ　本当はとてもさみしいんだろう僕はいつでもそばに居る　僕がこれからそばにいる君は人より少しだけ　不器用なだけの女の子「ウレシイトキドンナフウニ　ワラエバイイカワカンナイ…」ハートに巻いた包帯を　僕がゆっくりほどくから笑顔を写すスライドの準備しといて!!うれしい時は目の前で　両手たたいて笑ってよ!!そんな寒いトコ今すぐでておいで　アルエ…ハートに巻いた包帯も　もうすぐ全部ほどけるよ怖がらないで素顔を見せてごらんよ「ウレシイトキニワラエタラ」「カナシイトキニナケタラ」そんな寒いトコ今スグ出て　こっちにおいでハートに咲いたコスモスが　枯れないように水をやろう青空の下でゆれていてスゴクきれいさブリッジでとったスライドは　君が生きてるって証拠さあたたかい日だまりの中で一緒に　手をたたこう。
0,どんな具合だい　まだやれそうかい　慎重に点検して　考えて壊れたところ　直せそうなところ　壊れず残った　強いところ転んだってさ　待たないでさ　小さくなっていった背中悔しいけど　恥じる事はない　人それぞれのどうのこうのじゃないのずっと聞こえるよ足音が　どれほど遠くなろうとも耳塞いで声を出せ　ここにいるよって　誰に向けて全く問題無い　平常心さマイライフ　他所は他所　手出し口出し御無用とか言うわりに　遙か彼方の　芝生の青さまで　気になる冷静なふりして　黙れないまま　大きくなった鏡の中棚の上の　真っ青なハート　大きくなったら何かになれないの誰かを呼んで叫ぶよ　同時に誰かに呼ばれたよ悲しすぎて笑ったよ　助けてだなんて　言えやしない頑張ったってさ　頑張ってんのさ　人それぞれのどうのこうの恥ずかしいくらい　悔しかったから　追わなかったあの日が追いかけてくるどんな具合だい　もう動けそうかい　その手で触れて　確かめて直せたところ　駄目だったところ　結局残った　脆弱なハートもう一度呼んで叫ぶよ　もう一度誰かに呼ばれたよ耳塞いでも解るよ　ここにいるよって　はっきりとずっと聞こえるよ足音が　いつか自分の出した音が時を越えて届いたよ　追いついてやっと　重なるよ
0,大長編の探検ごっこ　落書き地図の上迷子は迷子と出会った　不燃物置き場の前嫌いな思い出ばっかり詰めた　荷物を抱えてずっと動けない自分ごと埋めて　と笑った似てて当たり前　そういう場所だからどこから来たのと尋ね合い　すぐに馬鹿馬鹿しくなるここに来るまでの経緯なんて　教えてどうする行きたい場所は全部廻った　泣きそうな雲の下なんにも無くしてないのに　空っぽの気がした　それでも大丈夫だって　言ってあげなくちゃ大丈夫じゃない自分も　動けないしな　あぁ　もう見つけたものは本物だよ　出会った事は本当だよ捨てるくらいなら持つからさ　貸してよなるほど　これだけあれば　当分お腹減らないな一緒に　ここから　離れよう友達増えた探検ごっこ　降りだした雨の下迷子は迷子と出会って　リュックサックのとりかえっこ行きたい場所は全部廻って　いい加減に飽きたらあんなに近い　ずっと遠い　あの雲にのぼろうひとつだけ　誤魔化したままだ　お互い気付いてる何を背負っても　自分のものじゃないならどれだけ大事にしても偽物だよ　でも大事な事は本当だよ預けたものなら要らないさ　迷子のままでも君さえいれば　きっと僕でいられるさ一緒に　ここから　離れよう大長編の探検ごっこ　泣きやんだ雲の下離れたのに振り返ると　不燃物置き場の前もう一度やって驚いた　リュックサックのとりかえっこ素敵な思い出ばっかり詰めた　荷物になってた今こそちゃんと　言ってあげなくちゃさよなら言えない自分に　言わなくちゃ大丈夫　見つけたものは本物だよ　出会った事は本当だよ捨てられないから持ってくよ　迷子だった時も出会った人は生き物だよ　生きてた君は笑ってたよ迷ってた僕と歩いたよ　偽物じゃない荷物だよこれだけあれば　きっと僕でいられるさ一緒に　ここから　離れよう涙と涙が出会ったら架かる　弓の唄行きたい場所は全部廻った後で　また会えたら荷物の無い体ふたつで　その弓を渡ろうあんなに近い　ずっと遠い　あの雲にのぼろう
0,魔法の言葉　覚えている　虹の始まったところあの時世界の全てに　一瞬で色が付いた転ばないように気を付けて　でもどこまでもいかなきゃ陽射しさえ掴めそうな手が　ひどく冷たかったから本当の声はいつだって　正しい道を照らしているなんだって疑っているから　とても強く信じている心臓が動いている事の　吸って吐いてが続く事の心がずっと熱い事の　確かな理由を雲の向こうの銀河のように　どっかで失くした切符のように生まれる前の歴史のように　君が持っているからそれだけ　わかっている僕だけ　わかっている鈍く残った痛みとか　しまってしまった思いとか滲んだって消えないもので　街は出来ている魔法の言葉　覚えている　虹の辿り着いたところ転ばないように気を付けて　でもどこまでもいけるよ無くしたくないものを　見つけたんだって気付いたらこんなに嬉しくなって　こんなに怖くなるなんて想像つかない昨日を越えて　その延長の明日を抱えて小さな肩　震える今　それでも笑った迷路の奥のダイヤのような　届かなかった風船のような気付けなかった流星のような　涙を貰っただからもう　忘れない二度ともう　迷わない心臓が動いている事の　吸って吐いてが続く事の心がずっと熱い事の　確かな理由が砂漠の粒のひとつだろうと　消えていく雨のひとつだろうと貰った 名も知らない花のように　今目の前にあるからそれだけ　わかっている僕だけ　わかっているだからもう　離れない二度ともう　迷わない
0,そこに君が居なかった事　そこに僕が居なかった事こんな当然を思うだけで　今がこれ程ダイナモの音　うねる坂道　憧れのギア　いじった誰かザリ釣り帰り　謎のサーチライト　始まり探し　迷ったら夜不思議が忘れるくらいあったそのいくつかの魔法はもう解けてしまった長靴は嫌い　傘は大好き　重ねたらほら　これ秘密基地自転車置き場　会いに通った　尻尾の生えた内緒の友達言えない事が今よりもあった　寂しいのは失くしたからじゃないそこに君が居なかった事　分かち合えない遠い日の事こんな当然を思うだけで　すぐに景色が滲むよ体温計で　ズルして早退　下足箱に斜陽　溜め息ひとつ母の日の朝　父さんとシャベルで　尻尾の付いた友達の墓悲しい事は宝物になった君もきっと　そりゃもう沢山持っているでしょうそこに僕が居なかった事　今は側に居られる事こんな当然を思うだけで　世界中が輝くよ同じもの見られたら　それだけでいい同じ気持ちじゃなくても　それだけでいい変わっていくのなら　全て見ておきたい居なくなるのなら　居た事を知りたいここに誰が居たかっただろう　それが僕にもなり得る事こんな当然を思うだけで　眠れない程怖いんだよそこに君が居なかった事　そこに僕が居なかった事こんな当然を思うだけで　今がこれ程愛しいんだよ怖いんだよアドバルーンの下　催事場のヒーロー光化学スモッグ　手を引かれた野球帽地球で一番　幸せだと思った　あの日の僕に　君を見せたい
0,子供じみていて恥ずかしいよと　馬鹿にしたけど恐らく自分より　素直で勇敢なだけ努力はおろか行動さえ　起こせないのに周りの奴等は　狡いと決めて恵まれなかったから　才能とチャンス　それさえあったら自分が置いていかれたら　逆恨みしてあいつは変わったと　欲に目が眩んだと一人で生きていくもんだと　悟った顔一人でも平気な　世界しか知らない頼まれたわけじゃないのに　生活は全部　そんな感じで誰の声か　どうでもいい　言葉と音符があるだけ君の側に語彙が豊富です　造詣が深いです　機械の力です水掛け論が得意です　あまりよくないあたま芸術に関しては　見る目がある気がするあれは駄目であれは良い　趣味のお話本当はもう解っている　猫に小判なんだって事ぐらい君がどんな人でもいい　感情と心臓があるなら君の力になれるように　気付かれなくとも唄は側に信じなくていい　手は挙げなくていい認めなくていい　全て君が正しい地球は綺麗事　君も僕も誰でも何でも君の嫌いな　ただのとても　綺麗な事恵まれていたとしても　才能とチャンス　活かせただろうか自分を嫌えば許される　それは間違い自意識が過剰　そもそも嫌えていない誰の声か　どうでもいい　言葉と音符があるだけただ力になれるように　愛されなくとも君の側に君がどんな人でもいい　感情と心臓があるならいつか力になれるように　万全を期して唄は側に君の側に
0,雨上がり差したまんま　傘がひとつ決まり通り色を踏んで　濡らした紐靴マンホールはセーフね　帰り道でいつも通り傘の中　笑顔がふたつ何も言えないのは　何も言わないからあんな事があったのに　笑うからあなたの　その呼吸が　あなたの心はどうであれ確かに続く今日を　悲しい程　愛しく思ういつもより沈黙が　耳元で騒ぐ次に出る言葉で　賭けをしている様な夕焼けに差したまんま　傘がひとつ見慣れた横顔　初めて見た様な傷付いたその時を　近くで見ていたこの目の前でだって　笑おうとするからあなたの　その笑顔が　誰かの心を許すならせめて傘の内側は　あなたを許して　どうか見せて欲しい触れないのが思いやり　そういう場合もあるけど我ながら卑怯な言い訳　痛みを知るのがただ怖いだけ最終下校時刻の　チャイムが遠く車屋の前の交差点で　また明日　じゃあね国道の川を渡って　やっぱり振り向いたらマンホールの上に立って　傘がくるくるあなたの　あの笑顔が　あなたの心を隠していたあの傘の向こう側は　きっとそうだ　信号は赤あなたの　その呼吸が　あなたを何度責めたでしょうそれでも続く今日を　笑う前に　抱きしめて欲しい抱きしめに行こう車屋の前の交差点で　ショーウィンドウに映る相合傘ひとりぼっち　それを抱きしめた自分で抱きしめた
0,踵が2つ　煉瓦の道　雨と晴れの隙間で歌った匂いもカラーで思い出せる　今が未来だった頃の事蜘蛛の巣みたいな稲妻が　空を粉々に砕いて消えたジャンル分け出来ないドキドキ　幼い足　ただ走らせたどうやったって無理なんだ　知らない記憶を知る事は言葉で伝えても　伝わったのは言葉だけ出来るだけ離れないで　いたいと願うのは出会う前の君に　僕は絶対出会えないから今もいつか過去になって　取り戻せなくなるからそれが未来の　今のうちに　ちゃんと取り戻しておきたいからひっくり返した砂時計　同じ砂が刻む違う2分全てはかけがえのないもの　そんなの誰だって知っているトリケラトプスに触りたい　ふたご座でのんびり地球が見たい貰った時間で出来るかな　長いのかな　短いのかなどこにだって一緒に行こう　お揃いの記憶を集めよう何回だって話をしよう　忘れないように教え合おう死ぬまでなんて嘘みたいな事を　本気で思うのは生きている君に　僕はこうして出会えたんだからそしていつか星になって　また一人になるから笑い合った　今はきっと　後ろから照らしてくれるから出来るだけ離れないで　いたいと願うのは出会う前の傷を　僕にそっと見せてくれたから死ぬまでなんて嘘みたいな事を　本気で思うのは生きようとして　生き抜いた　稲妻を一緒に見られたからラララそしていつか星になって　また一人になるから笑い合った　過去がずっと　未来まで守ってくれるから踵が4つ　煉瓦の道　明日と昨日の隙間で歌った全てはかけがえのないもの　言葉でしか知らなかった事
